연도,변동사유발생연월일,판매업종류,구분,업체명,소재지,위도,경도
2015,2015-01-23,주유소,휴업,강변주유소,충청남도 공주시 창벽로450-3 (상왕동),36.4444141423966,127.183710492392
2015,2015-01-24,주유소,휴업,삼정주유소,충북 충주시 소태면 구룡로 795,37.1017221829766,127.877749756409
2015,2015-01-28,주유소,폐업,영목주유소,강원도 영월군 영월로2070 (영월읍),,
2015,2015-01-28,주유소,휴업,대웅에너지주유소,대전광역시 중구 대종로555 (선화동),36.3322486341166,127.420796695613
2015,2015-01-28,주유소,폐업,호남제2주유소,전라북도 전주시 덕진구 온고을로479 (여의동),,
2015,2015-01-30,주유소,휴업,곰돌이주유소,경기도 평택시 서동대로1941 (안중읍),37.0031419076172,126.959343996687
2015,2015-01-30,주유소,폐업,흥구석유㈜ 흥구중산주유소,경상북도 경산시 대학로9 (중산동),,
2015,2015-01-30,주유소,휴업,푸른별주유소,경상북도 포항시 북구 해안로1496 (흥해읍),36.1412786804258,129.392530976782
2015,2015-01-30,주유소,휴업,비인주유소,충청남도 서천군 비인로214 (비인면),36.1426851271901,126.599533733342
2015,2015-02-02,주유소,휴업,터널주유소,경기도 남양주시 경춘로1757 (화도읍),37.6575608976626,127.285608574031
2015,2015-02-02,주유소,휴업,꿈동산주유소,서울특별시 강북구 월계로191 (번동),37.6211526622517,127.045257274538
2015,2015-02-02,주유소,휴업,한동주유소,제주특별자치도 제주시 일주동로2763 (구좌읍),33.540925596089,126.821957640164
2015,2015-02-02,주유소,휴업,㈜대천에너지,충청남도 보령시 왕대산길47 (남곡동),36.3377242387732,126.569904143554
2015,2015-02-03,주유소,휴업,상승주유소,경기도 이천시 경충대로758 (장호원읍),37.1665854582938,127.576620582558
2015,2015-02-03,주유소,폐업,선진주유소,경남 사천시 용현면 진삼로 976,35.0426264433606,128.067744242519
2015,2015-02-03,주유소,폐업,은경주유소,경상남도 김해시 금관대로1279 (내동),35.2390214533644,128.859806808483
2015,2015-02-03,주유소,휴업,㈜원흥 광주지점,광주광역시 남구 독립로143 (월산동),35.1464563519484,126.903430477667
2015,2015-02-03,주유소,폐업,둔촌주유소,서울특별시 강동구 양재대로1382 (둔촌동),37.5293384086319,127.137280034164
2015,2015-02-03,주유소,폐업,인보주유소,인천광역시 부평구 경인로890 (부평동),,
2015,2015-02-03,주유소,휴업,현우주유소,전북 부안군 보안면 부안로 1458,35.6384442711546,126.668595961913
2015,2015-02-03,주유소,휴업,공주대주유소,충청남도 공주시 무령로435 (신관동,36.465538242388,127.140816642378
2015,2015-02-04,주유소,휴업,제이앤비코리아㈜ 천지주유소,충청북도 청주시 흥덕구 직지대로677 (봉명동),36.6430973180349,127.468518991954
2015,2015-02-05,주유소,폐업,세영주유소,경기도 남양주시 수레로973 (화도읍,37.6331079811037,127.291839751173
2015,2015-02-05,주유소,폐업,태광주유소,경상남도 창녕군 남지중앙로93 (남지읍),35.3921498955432,128.479751315837
2015,2015-02-05,주유소,폐업,장산주유소,부산광역시 해운대구 재반로86 (재송동),35.1863439604915,129.125723715447
2015,2015-02-05,주유소,휴업,동구주유소,인천광역시 동구 송미로50 (송림동),37.4826357598258,126.650995645435
2015,2015-02-06,주유소,폐업,유신주유소,경기도 포천시 금강로2634번길46 (내촌면),37.805392444368,127.251617996135
2015,2015-02-06,주유소,휴업,미래주유소,경상남도 사천시 서삼로1199 (축동면),35.0930130434194,128.04899014605
2015,2015-02-09,주유소,휴업,돈방석주유소,경기도 부천시 오정구 역곡로449 (고강동),37.5248629184635,126.815588362342
2015,2015-02-09,주유소,폐업,삼성주유소,서울특별시 은평구 증산로379 (신사동),37.5902006806465,126.912938528759
2015,2015-02-09,주유소,휴업,한겨레주유소,충청북도 충주시 중원대로2410 (살미면),36.9027930817442,127.961372428217
2015,2015-02-10,주유소,휴업,㈜제이케이에너지 송전IC주유소,경기도 용인시 처인구 경기동로634 (이동면),37.1419505090062,127.191750496983
2015,2015-02-10,주유소,휴업,예일주유소,"인천광역시 계양구 벌말로295 (동양동,예일주유소)",37.5574780436319,126.769150010086
2015,2015-02-10,주유소,휴업,박물관주유소,전라북도 익산시 무왕로2269 (왕궁면),,
2015,2015-02-10,주유소,휴업,짱구주유소,전라북도 익산시 여강로417 (망성면),36.0851880442772,127.055796030396
2015,2015-02-10,주유소,휴업,신덕주유소,충청북도 충주시 신덕로703 (신니면),36.9990396623654,127.728762824072
2015,2015-02-11,주유소,폐업,이화주유소,강원도 평창군 경강로2506 (용평면),37.6254338263018,128.477206140942
2015,2015-02-11,주유소,폐업,현대오일뱅크㈜직영 태윤주유소,경기도 수원시 장안구 송원로59 (송죽동),,
2015,2015-02-11,주유소,폐업,㈜안국에너지 유성주유소,경기도 수원시 팔달구 중부대로159 (우만동),,
2015,2015-02-11,주유소,휴업,광석동주유소,경기도 시흥시 동서로633 (광석동),37.3839441805273,126.817484799305
2015,2015-02-11,주유소,휴업,금호주유소,경기도 의왕시 안양판교로128 (포일동),,
2015,2015-02-11,주유소,휴업,곡강주유소,경상북도 포항시 북구 동해대로1758 (흥해읍),36.1280335862898,129.347137736352
2015,2015-02-11,주유소,휴업,기장연곡주유소,부산광역시 기장군 기장대로 228-38,35.2177982609633,129.212736565271
2015,2015-02-11,주유소,폐업,햇살주유소,전라남도 나주시 산남로9 (산포면),35.040958078458,126.816051828806
2015,2015-02-11,주유소,폐업,(유)나들목주유소,전라북도 전주시 덕진구 원반월길7 (반월동),,
2015,2015-02-11,주유소,휴업,대영석유,충남 논산시 취암동 1035-11,36.2056864026662,127.093107801502
2015,2015-02-12,주유소,휴업,고단주유소,강원도 강릉시 백두대간로124 (왕산면),37.5258780358156,128.848506989898
2015,2015-02-12,주유소,휴업,남산주유소,강원도 홍천군 홍천읍 장전평로 235,37.6659950515189,127.880153817836
2015,2015-02-12,주유소,폐업,태양해상급유㈜,부산광역시 동구 중앙대로286번길3-1 (초량동),35.1220966838145,129.04403806992
2015,2015-02-12,주유소,휴업,거성석유㈜,서울 송파구 백제고분로 475,37.5130167061201,127.11356586144
2015,2015-02-13,주유소,휴업,문덕화물제2주유소,경상북도 포항시 남구 냉천로542 (오천읍),35.9469842944085,129.403852176792
2015,2015-02-13,주유소,휴업,수색제일주유소,서울시 은평구 수색로 236,37.5811692862968,126.897845401184
2015,2015-02-16,주유소,폐업,치악파크주유소,강원도 원주시 치악로447 (신림면),37.2553195964259,128.045531840939
2015,2015-02-16,주유소,휴업,할렐루야주유소,강원도 춘천시 영서로1244 (동산면),37.7947115712896,127.773172912901
2015,2015-02-16,주유소,폐업,강변북로주유소,경기도 남양주시 강변북로776 (가운동),,
2015,2015-02-16,주유소,휴업,연평주유소,경기도 남양주시 진접읍 사릉로826,37.6882341490921,127.171632767842
2015,2015-02-16,주유소,휴업,성원주유소,경기도 포천시 청군로3133 (군내면),37.8773500022292,127.228143660751
2015,2015-02-16,주유소,휴업,서양새마을금고주유소,광주광역시 남구 독립로140 (월산동),35.1457646801521,126.903811756799
2015,2015-02-16,주유소,폐업,대성산업㈜ 노원대성주유소,대구광역시 북구 노원로96 (노원동3가),35.8949953305782,128.572135775193
